l,b,Linear Size (pc),sigma (km/s)
16.571,-0.367,1.2456889063052228,0.378424946543
16.585,-0.052,2.4675822960847573,0.806588311836
16.594,-0.316,1.8943240817171723,0.416574117408
16.605,-0.081,2.140341948034995,0.441821734282
16.608,-0.236,3.6417637298032526,0.570706312429
16.625,-0.209,1.8756594697453743,0.337872822177
16.628,-0.066,1.8774055084443093,0.384714136948
16.638,-0.288,0.9189539478378563,0.815517845498
16.643,-0.123,1.9574691862590083,0.662130156661
16.645,-0.391,0.750930465650211,0.360619732854
16.65,-0.301,1.4120508926018294,0.49174553842
16.662,-0.334,0.8402305970830033,0.601323835776
16.663,-0.359,1.22367085245382,0.381910411698
16.666,-0.294,2.4866045388536517,0.624888387573
16.666,-0.23,1.63231384976708,0.439950812614
16.67,-0.341,2.460534870748447,0.525015844227
16.68,-0.072,1.9557953618048223,0.365987103024
16.684,-0.392,1.8343295096198247,0.303901897845
16.694,-0.042,1.059715524026986,0.24236040513
16.72,-0.091,1.4915114722634002,0.362915948054
16.73,-0.013,4.367119483683643,1.17256900686
16.739,-0.091,1.6284103334753837,0.697612497414
16.752,-0.358,0.497587496350233,0.499904282586
16.765,0.014,15.245185483012461,0.902200386814
16.782,-0.056,4.231568209604537,0.267586491071
16.793,0.006,2.9024660025174023,0.580156290676
16.797,-0.235,1.7094416715302638,0.571352247791
16.798,0.12,0.6515452276312355,0.360775196072
16.812,-0.348,4.849144389088924,0.406896082347
16.812,-0.274,2.0827528796370585,0.277279776065
16.835,0.078,1.9947291488920897,0.609477825374
16.858,-0.327,2.933514647346603,0.215941964817
16.872,-0.059,6.014965954125451,0.317800132107
16.879,0.137,10.40217634002077,0.462784270808
16.88,-0.076,2.6759824465443014,0.34294998472
16.887,-0.354,0.5932850158005322,0.74044137041
16.889,-0.19,4.227051062597419,0.607199688114
16.897,-0.07,1.1569012755039705,0.506633836177
16.899,0.126,0.5369160801306694,0.314571847604
16.9,-0.192,0.8475903704584373,0.320005227758
16.906,0.338,1.8907672226741081,0.861666680425
16.913,0.199,0.4022453959880986,0.500400090594
16.915,-0.209,2.011706778772669,0.542059912701
16.918,0.195,4.169780818229125,0.404239615046
16.927,0.241,2.5925657822803974,0.601215932042
16.931,-0.09,21.344211786096018,0.318297538351
16.976,-0.223,3.865151084271159,0.435032338962
16.981,-0.191,1.0642273235047042,0.229550370953
16.991,0.28,0.6171141991042004,0.451209573952
17.0,-0.08,1.9699341234495693,0.636251315837
17.032,0.316,3.501151017254376,0.347726208237
17.209,0.295,0.5688085343717021,0.189351449135
17.504,0.068,5.380318284586981,0.477790474431
17.596,0.088,3.513958557192612,1.26404924924
17.645,0.16,18.559077586241877,0.579977693248
17.71,0.179,6.607672818786127,0.309586951817
17.756,0.177,3.1117051508217695,0.365840768613
17.862,0.068,3.861679036842552,0.638670345238
